DAY_OF_WEEK,COTA_ROUTE,UNIQUE_STOP_NUMBER,STOP_NAME,ON,OFF,TOTAL,LAT,LONG,RANK
SUN,10,00004134,E BROAD ST & S HIGH ST,212,277,489,39.962141,-83.000119,1
SUN,10,00004149,E BROAD ST & N HIGH ST,238,214,453,39.962364,-82.99965,2
SUN,6,00002900,N HIGH ST & W BROAD ST,97,192,290,39.962808,-83.000821,3
SUN,8,00006407,GREAT SOUTHERN PARK AND,170,113,283,39.885062,-83.000911,4
SUN,1,00006464,S HIGH ST & E BROAD ST,85,184,269,39.961615,-83.000331,5
SUN,6,00006464,S HIGH ST & E BROAD ST,182,78,260,39.961602,-83.000454,6
SUN,10,00005520,WESTWOODS PARK AND RIDE,130,126,256,39.950786,-83.147294,7
SUN,2,00002900,N HIGH ST & W BROAD ST,124,128,251,39.962809,-83.000801,8
SUN,1,00002900,N HIGH ST & W BROAD ST,142,99,241,39.962782,-83.000765,9
SUN,2,00006464,S HIGH ST & E BROAD ST,120,121,241,39.961631,-83.000342,10
SUN,10,00007253,HOLLYWOOD CASINO,106,119,225,39.950658,-83.107738,11
SUN,8,00006839,BOARDWALK ST & SHAPTER A,111,105,216,40.089286,-82.991688,12
SUN,121,00004850,S FRONT ST & W SYCAMORE,126,87,213,39.949228,-82.999888,13
SUN,12,00004193,MCKINLEY AVE & MCK TRANS,104,107,211,39.964374,-83.041358,14
SUN,1,00003522,REYNOLDSBURG PARK & RIDE,103,87,190,39.939366,-82.827755,15
SUN,24,00005312,EASTLAND NB LOT & S HAMI,95,95,190,39.918614,-82.880691,16
SUN,23,00005312,EASTLAND NB LOT & S HAMI,99,84,183,39.918609,-82.88065,17
SUN,5,00006955,GENDER RD TOWN CENTER 1,88,87,175,39.909809,-82.822088,18
SUN,34,00008004,EASTON TERMINAL BAY 2,85,86,171,40.060846,-82.909488,19
SUN,7,00004157,W LONG ST & N HIGH ST,147,21,168,39.964883,-83.001413,20
SUN,24,00008003,EASTON TERMINAL BAY 3,87,78,165,40.060863,-82.909307,21
SUN,4,00007512,BOARDWALK ST & SHAPTER A,84,78,162,40.088137,-82.992126,22
SUN,2,00007256,WESTVIEW TURNAROUND,73,75,149,40.070028,-83.019601,23
SUN,6,00007253,HOLLYWOOD CASINO,74,74,148,39.950698,-83.107804,24
SUN,23,00008005,EASTON TERMINAL BAY 1,75,71,147,40.060876,-82.909684,25
SUN,6,00001132,3401 CLEVELAND AVE,107,38,144,40.036554,-82.962956,26
SUN,8,00004157,W LONG ST & N HIGH ST,59,82,141,39.96488,-83.001501,27
SUN,6,00007505,SPRING RUN DR & E DUBLIN,80,58,138,40.087208,-82.956446,28
SUN,6,00004101,N HIGH ST & W LONG ST,45,92,137,39.965192,-83.001311,29
SUN,3,00007042,PARKWAY CENTRE DR & STRI,57,80,136,39.877613,-83.0456,30
SUN,7,00007515,E SPRING ST & N HIGH ST,3,131,134,39.96631,-83.001094,31
SUN,10,00004150,W BROAD ST & MARCONI BLV,106,25,130,39.96198,-83.003541,32
SUN,12,00007111,W BROAD ST & N HIGH ST,57,72,129,39.962445,-83.000954,33
SUN,31,00007999,EASTON TERMINAL BAY 7,65,64,129,40.060721,-82.909432,34
SUN,2,00004101,N HIGH ST & W LONG ST,64,64,127,39.965189,-83.001287,35
SUN,10,00006827,E BROAD ST & LIMITED STO,60,64,125,39.984888,-82.772041,36
SUN,6,00006415,S FRONT ST & W MAIN ST,71,53,125,39.955239,-83.001011,37
SUN,5,00005312,EASTLAND NB LOT & S HAMI,53,71,123,39.918549,-82.8807,38
SUN,10,00002681,W BROAD ST & S FRONT ST,31,87,119,39.961906,-83.002696,39
SUN,3,00001644,E MAIN ST & S PEARL ST,7,110,118,39.956223,-82.998412,40
SUN,1,00004101,N HIGH ST & W LONG ST,67,51,118,39.965168,-83.001272,41
SUN,3,00002454,W MOUND ST & MOUNT CALVA,93,24,117,39.949417,-83.022248,42
SUN,6,00003086,CLEVELAND AVE & MORSE RD,34,82,117,40.058977,-82.952967,43
SUN,7,00007997,EASTON TERMINAL BAY 9,61,54,116,40.060775,-82.909784,44
SUN,8,00003142,W SPRING ST & N WALL ST,61,54,115,39.966244,-83.002517,45
SUN,6,00005910,N HIGH ST & E GAY ST,83,32,115,39.964401,-83.001014,46
SUN,2,00002329,E MAIN ST & S JAMES RD,69,45,114,39.956634,-82.914409,47
SUN,8,00006370,S HIGH ST & E FULTON ST,22,92,114,39.954211,-82.999017,48
SUN,6,00003133,CLEVELAND AVE & MORSE RD,77,36,113,40.058861,-82.95316,49
SUN,2,00002294,E MAIN ST & S JAMES RD,57,55,113,39.956544,-82.91519,50
SUN,1,00006364,RIVERSIDE HOSPITAL,57,55,112,40.032262,-83.032118,51
SUN,10,00002494,E BROAD ST & S JAMES RD,51,60,111,39.972067,-82.912418,52
SUN,2,00002315,E MAIN ST & S HAMILTON R,89,20,109,39.955534,-82.876448,53
SUN,5,00007456,S FRONT ST & W BROAD ST,57,50,107,39.961639,-83.002468,54
SUN,2,00002307,E MAIN ST & S HAMILTON R,21,86,107,39.955431,-82.877194,55
SUN,23,00004770,N JAMES RD & E BROAD ST,26,81,107,39.972076,-82.913399,56
SUN,32,00008000,EASTON TERMINAL BAY 6,53,53,106,40.060728,-82.909224,57
SUN,2,00001644,E MAIN ST & S PEARL ST,79,27,106,39.956247,-82.998372,58
SUN,33,00007256,WESTVIEW TURNAROUND,53,51,104,40.069908,-83.019517,59
SUN,6,00006902,OHIO HEALTH & AFRICA RD,51,52,103,40.148232,-82.938071,60
SUN,2,00007159,GREAT EASTERN WESTBOUND,47,55,102,39.956167,-82.873648,61
SUN,22,00007063,LONDON-GROVEPORT RD & AL,51,51,101,39.830159,-82.93301,62
SUN,6,00004530,CLEVELAND AVE & INNIS RD,32,68,99,40.037159,-82.962499,63
SUN,102,00007882,MEIJERS & POLARIS WOODS,50,48,98,40.150466,-82.923984,64
SUN,34,00005955,MORSE RD & CLEVELAND AVE,52,45,97,40.059405,-82.952285,65
SUN,2,00005910,N HIGH ST & E GAY ST,44,53,97,39.964432,-83.001009,66
SUN,8,00007257,S HIGH ST & W MAIN ST,81,15,96,39.955672,-82.999446,67
SUN,2,00001185,N HIGH ST & E 6TH AVE,45,51,96,39.989165,-83.005871,68
SUN,141,00005181,COLUMBUS ZOO,34,62,96,40.154368,-83.113846,69
SUN,23,00004766,S JAMES RD & E MAIN ST,50,45,95,39.95711,-82.914692,70
SUN,3,00002374,W MOUND ST & MOUNT CALVA,21,74,95,39.949471,-83.022419,71
SUN,34,00007256,WESTVIEW TURNAROUND,49,46,95,40.069962,-83.019572,72
SUN,8,00006186,GREAT SOUTHERN WAL-MART,37,57,94,39.889101,-83.00076,73
SUN,1,00005217,PICKFORDE DR & GARDENIA,60,34,94,40.065956,-83.086392,74
SUN,1,00004231,EDWARD WEAVER MEMORIAL &,12,80,93,40.020511,-83.024968,75
SUN,5,00004228,W MOUND ST & S HIGH ST,12,81,92,39.95476,-82.999756,76
SUN,10,00004239,W BROAD ST & BROADLAWN A,32,60,92,39.953903,-83.098093,77
SUN,3,00004157,W LONG ST & N HIGH ST,59,33,92,39.964905,-83.001511,78
SUN,5,00002765,E WHITTIER ST & SEYMOUR,42,50,92,39.943151,-82.955334,79
SUN,2,00001797,E MOUND ST & S HIGH ST,12,78,91,39.954952,-82.998883,80
SUN,23,00004775,S JAMES RD & E MAIN ST,44,46,91,39.956632,-82.914892,81
SUN,2,00001301,N HIGH ST & CLARK PL,60,30,90,39.988947,-83.005943,82
SUN,2,00002299,E MAIN ST & COLLINGWOOD,21,69,90,39.956117,-82.901,83
SUN,1,00005910,N HIGH ST & E GAY ST,37,52,89,39.964395,-83.00101,84
SUN,2,00002323,E MAIN ST & COLLINGWOOD,62,27,89,39.956238,-82.900743,85
SUN,4,00006924,THIMBLEBERRY RD & ALUM C,46,43,89,39.885976,-82.930061,86
SUN,6,00004100,N HIGH ST & W NATIONWIDE,24,65,89,39.968216,-83.001856,87
SUN,4,00004157,W LONG ST & N HIGH ST,45,44,89,39.96488,-83.001483,88
SUN,1,00001985,E LIVINGSTON AVE & S JAM,64,25,88,39.946928,-82.915225,89
SUN,5,00004123,N FRONT ST & W BROAD ST,37,51,88,39.963008,-83.002587,90
SUN,102,00006464,S HIGH ST & E BROAD ST,77,9,86,39.961635,-83.000325,91
SUN,6,00004085,S HIGH ST & E RICH ST,45,40,85,39.957248,-82.999616,92
SUN,5,00003142,W SPRING ST & N WALL ST,37,47,84,39.966136,-83.00252,93
SUN,7,00007400,E MOUND ST & S 5TH ST,50,34,84,39.955667,-82.992602,94
SUN,121,00007347,HIGH ST & W SYCAMORE ST,21,62,83,39.949345,-82.998284,95
SUN,23,00004771,S JAMES RD & E BROAD ST,62,20,83,39.971602,-82.913592,96
SUN,102,00002900,N HIGH ST & W BROAD ST,20,62,82,39.962829,-83.000802,97
SUN,23,00001985,E LIVINGSTON AVE & S JAM,54,28,82,39.946973,-82.915188,98
SUN,1,00006370,S HIGH ST & E FULTON ST,31,50,80,39.954223,-82.999025,99
SUN,7,00001644,E MAIN ST & S PEARL ST,35,46,80,39.956223,-82.998524,100
SUN,6,00004092,N HIGH ST & E NATIONWIDE,57,22,80,39.96823,-83.001723,101
SUN,1,00007128,OLENTANGY RIVER RD & HAR,67,12,79,40.020486,-83.024762,102
SUN,10,00004286,W BROAD ST & BROADLAWN A,58,21,79,39.953743,-83.097533,103
SUN,2,00001192,N HIGH ST & W WOODRUFF A,39,38,77,40.003558,-83.008693,104
SUN,9,00007998,EASTON TERMINAL BAY 8,38,39,77,40.060726,-82.909628,105
SUN,152,00005383,CMH AIRPORT BAGGAGE CLAI,71,6,76,39.998601,-82.885086,106
SUN,9,00005520,WESTWOODS PARK AND RIDE,38,39,76,39.950821,-83.147353,107
SUN,1,00003192,E LIVINGSTON AVE & BRICE,13,63,76,39.941944,-82.830441,108
SUN,2,00001297,N HIGH ST & CHITTENDEN A,43,32,75,39.995889,-83.00733,109
SUN,1,00001943,E LIVINGSTON AVE & S JAM,24,51,75,39.946802,-82.914994,110
SUN,7,00003142,W SPRING ST & N WALL ST,20,54,74,39.966126,-83.002537,111
SUN,10,00002525,E BROAD ST & MAPLEWOOD A,52,21,74,39.973212,-82.902801,112
SUN,24,00002564,S HAMILTON RD & E MAIN S,47,27,73,39.955799,-82.876897,113
SUN,10,00002509,E BROAD ST & S HAMILTON,14,59,73,39.97607,-82.874417,114
SUN,21,00007253,HOLLYWOOD CASINO,39,33,72,39.950681,-83.107769,115
SUN,21,00005217,PICKFORDE DR & GARDENIA,37,35,72,40.065947,-83.08667,116
SUN,3,00003142,W SPRING ST & N WALL ST,34,37,71,39.966185,-83.002555,117
SUN,10,00004138,E BROAD ST & S GRANT AVE,26,45,71,39.963203,-82.991349,118
SUN,152,00006322,AIRPORT TERMINAL DEPARTI,3,68,70,39.998256,-82.885075,119
SUN,6,00007210,CLEVELAND AVE & E 5TH AV,38,32,70,39.986668,-82.988754,120
SUN,8,00001644,E MAIN ST & S PEARL ST,13,56,70,39.95622,-82.99839,121
SUN,2,00002266,E MAIN ST & S GRANT AVE,42,27,69,39.95728,-82.989165,122
SUN,10,00004146,E BROAD ST & N GRANT AVE,34,35,69,39.963365,-82.991511,123
SUN,2,00001198,N HIGH ST & E DODRIDGE S,10,58,69,40.016554,-83.011838,124
SUN,5,00004303,1ST COMMUNITY VILLAGE,36,33,69,39.991267,-83.065926,125
SUN,8,00004109,S HIGH ST & W MOUND ST,60,8,68,39.954159,-82.999146,126
SUN,2,00003957,N HIGH ST & E 18TH AVE,33,35,68,40.002864,-83.008692,127
SUN,121,00005910,N HIGH ST & E GAY ST,30,38,68,39.964382,-83.001005,128
SUN,2,00001197,N HIGH ST & E HUDSON ST,16,52,68,40.014245,-83.011224,129
SUN,102,00007983,COTA TRANSIT TERMINAL BA,0,68,68,39.957505,-82.999367,130
SUN,5,00007257,S HIGH ST & W MAIN ST,56,12,67,39.955666,-82.999467,131
SUN,121,00004101,N HIGH ST & W LONG ST,47,20,67,39.965182,-83.00128,132
SUN,2,00004931,E MAIN ST & ALUM CREEK D,22,45,67,39.957279,-82.944346,133
SUN,10,00002631,W BROAD ST & N CENTRAL A,25,41,67,39.957715,-83.038468,134
SUN,31,00002908,NORTHWEST BLVD & GOODALE,34,32,66,39.974986,-83.027667,135
SUN,152,00005382,INTERNATIONAL GATEWAY &,35,31,66,39.998781,-82.892921,136
SUN,8,00005387,GREAT SOUTHERN KROGER,33,33,66,39.887712,-83.001404,137
SUN,2,00001288,N HIGH ST & W HUDSON ST,50,16,66,40.014054,-83.011301,138
SUN,7,00001678,MOUNT VERNON AVE & MIAMI,56,10,66,39.972007,-82.974406,139
SUN,23,00001943,E LIVINGSTON AVE & S JAM,27,39,66,39.946842,-82.914891,140
SUN,34,00001222,N HIGH ST & LELAND AVE,1,64,66,40.063344,-83.019343,141
SUN,10,00007535,E BROAD ST & LOWELL RD,48,17,66,39.971867,-82.915333,142
SUN,8,00004114,S 3RD ST & E BROAD ST,29,37,65,39.962098,-82.997923,143
SUN,1,00001983,E LIVINGSTON AVE & BARNE,46,19,65,39.946446,-82.906042,144
SUN,3,00007098,KINGSDALE MACYS-NORTHWES,38,27,65,40.021108,-83.057338,145
SUN,24,00003936,S HAMILTON RD & E MAIN S,24,40,65,39.95521,-82.876805,146
SUN,1,00001185,N HIGH ST & E 6TH AVE,27,38,64,39.989158,-83.005877,147
SUN,2,00001286,N HIGH ST & OLENTANGY ST,49,15,63,40.019822,-83.012857,148
SUN,2,00004934,E MAIN ST & HOLTZMAN AVE,40,23,63,39.957436,-82.945421,149
SUN,5,00007253,HOLLYWOOD CASINO,32,31,63,39.950738,-83.107622,150
SUN,6,00001134,CLEVELAND AVE & OAKLAND,39,24,63,40.031783,-82.964075,151
SUN,121,00007330,E 3RD AVE & SAY AVE,31,32,63,39.9836,-83.002634,152
SUN,121,00006464,S HIGH ST & E BROAD ST,39,23,62,39.961608,-83.000414,153
SUN,10,00002667,W BROAD ST & STEVENS AVE,31,31,62,39.957226,-83.041372,154
SUN,2,00001287,N HIGH ST & W DODRIDGE S,49,13,62,40.016262,-83.011887,155
SUN,10,00002668,W BROAD ST & S CENTRAL A,41,21,62,39.957658,-83.03778,156
SUN,5,00006852,RENNER RD PARK AND RIDE,31,31,62,39.982313,-83.154309,157
SUN,5,00004894,W 5TH AVE & N HIGH ST,49,13,61,39.987127,-83.005854,158
SUN,6,00001143,CLEVELAND AVE & E HUDSON,30,31,61,40.013371,-82.967647,159
SUN,2,00001188,N HIGH ST & CHITTENDEN A,32,29,61,39.996147,-83.007236,160
SUN,1,00001301,N HIGH ST & CLARK PL,49,12,61,39.988945,-83.005941,161
SUN,24,00006724,MEIJER HAMILTON RD & CHE,31,29,61,40.059515,-82.862225,162
SUN,7,00005382,INTERNATIONAL GATEWAY &,29,32,60,39.998602,-82.892832,163
SUN,34,00004778,MORSE RD & N HIGH ST,59,1,60,40.062442,-83.018805,164
SUN,6,00003125,CLEVELAND AVE & STATE RO,56,4,60,40.084234,-82.951254,165
SUN,1,00001192,N HIGH ST & W WOODRUFF A,27,33,59,40.003555,-83.008702,166
SUN,2,00004092,N HIGH ST & E NATIONWIDE,34,25,59,39.96822,-83.001736,167
SUN,1,00004109,S HIGH ST & W MOUND ST,41,18,59,39.954135,-82.999104,168
SUN,6,00001124,CLEVELAND AVE & HUY RD,7,51,58,40.034848,-82.96344,169
SUN,24,00004352,N HAMILTON RD & E BROAD,21,37,58,39.976612,-82.873854,170
SUN,10,00002632,W BROAD ST & STEVENS AVE,27,31,58,39.95736,-83.041402,171
SUN,2,00001184,N HIGH ST & E 5TH AVE,25,33,58,39.987515,-83.005545,172
SUN,10,00002675,W BROAD ST & S DAVIS AVE,36,22,58,39.959626,-83.021312,173
SUN,6,00007257,S HIGH ST & W MAIN ST,19,39,58,39.955673,-82.999454,174
SUN,10,00002498,3675 E BROAD ST,17,40,58,39.972981,-82.903916,175
SUN,2,00001200,N HIGH ST & OLENTANGY ST,15,43,58,40.019469,-83.012586,176
SUN,34,00005963,MORSE RD & TAMARACK BLVD,15,43,57,40.060474,-82.971488,177
SUN,8,00007594,E 11TH AVE & N HIGH ST,3,54,57,39.994863,-83.006683,178
SUN,6,00004228,W MOUND ST & S HIGH ST,35,22,57,39.954819,-82.999801,179
SUN,2,00002346,E MAIN ST & KELTON AVE,34,22,56,39.957682,-82.958431,180
SUN,6,00001113,CLEVELAND AVE & E HUDSON,27,29,56,40.013484,-82.967456,181
SUN,2,00002353,E MAIN ST & CARPENTER ST,33,23,56,39.957988,-82.97439,182
SUN,2,00004085,S HIGH ST & E RICH ST,33,23,56,39.957249,-82.999621,183
SUN,121,00004095,N HIGH ST & SPRUCE ST,14,43,56,39.972708,-83.002624,184
SUN,102,00001197,N HIGH ST & E HUDSON ST,19,36,56,40.014264,-83.011226,185
SUN,1,00004092,N HIGH ST & E NATIONWIDE,33,23,56,39.968198,-83.001746,186
SUN,121,00002900,N HIGH ST & W BROAD ST,23,33,56,39.962838,-83.000806,187
SUN,1,00001973,E LIVINGSTON AVE & S HAM,40,16,56,39.944893,-82.878496,188
SUN,6,00007211,CLEVELAND AVE & E 5TH AV,37,18,55,39.985916,-82.98923,189
SUN,1,00001297,N HIGH ST & CHITTENDEN A,37,17,55,39.995884,-83.007331,190
SUN,5,00003746,W 5TH AVE & N HIGH ST,19,36,55,39.987051,-83.005767,191
SUN,10,00004287,W BROAD ST & S WILSON RD,36,18,54,39.953915,-83.094114,192
SUN,10,00002656,W BROAD ST & S HAGUE AVE,36,18,54,39.954879,-83.074302,193
SUN,121,00001182,N HIGH ST & E 2ND AVE,7,47,54,39.983315,-83.004614,194
SUN,25,00008002,EASTON TERMINAL BAY 4,28,26,53,40.060814,-82.909085,195
SUN,2,00001193,N HIGH ST & E LANE AVE,28,25,53,40.006448,-83.00927,196
SUN,9,00003142,W SPRING ST & N WALL ST,35,18,53,39.966223,-83.002542,197
SUN,10,00004135,E BROAD ST & S 3RD ST,24,30,53,39.962485,-82.997512,198
SUN,2,00001302,N HIGH ST & W 5TH AVE,18,35,53,39.986761,-83.005492,199
SUN,10,00002660,W BROAD ST & N WAYNE AVE,35,18,53,39.955372,-83.064109,200
SUN,5,00004100,N HIGH ST & W NATIONWIDE,23,29,53,39.968244,-83.001923,201
SUN,10,00002624,W BROAD ST & N DAVIS AVE,20,32,53,39.959749,-83.021468,202
SUN,1,00001946,E LIVINGSTON AVE & BARNE,12,41,52,39.946332,-82.906057,203
SUN,10,00004408,3440 W BROAD ST,7,45,52,39.954134,-83.092619,204
SUN,1,00001188,N HIGH ST & CHITTENDEN A,31,21,52,39.996158,-83.007244,205
SUN,1,00007257,S HIGH ST & W MAIN ST,32,19,52,39.95567,-82.999437,206
SUN,34,00005970,MORSE RD & CLEVELAND AVE,41,11,51,40.059768,-82.954718,207
SUN,6,00005874,CLEVELAND AVE & STATE RO,11,40,51,40.086128,-82.950899,208
SUN,2,00001300,N HIGH ST & KING AVE,13,37,51,39.990519,-83.00625,209
SUN,4,00003142,W SPRING ST & N WALL ST,20,30,51,39.966127,-83.002435,210
SUN,31,00001197,N HIGH ST & E HUDSON ST,40,11,50,40.014227,-83.011175,211
SUN,3,00004228,W MOUND ST & S HIGH ST,49,1,50,39.954789,-82.999823,212
SUN,10,00004148,E BROAD ST & N 3RD ST,17,33,50,39.962643,-82.997626,213
SUN,2,00000036,HANSON ST & E MAIN ST,24,26,50,39.956649,-82.779755,214
SUN,2,00007537,N HIGH ST & W LANE AVE,26,25,50,40.005573,-83.00922,215
SUN,10,00005295,E BROAD ST & SCHOFIELD D,28,22,50,39.975555,-82.880311,216
SUN,22,00002908,NORTHWEST BLVD & GOODALE,25,25,50,39.975052,-83.027679,217
SUN,1,00004085,S HIGH ST & E RICH ST,17,33,50,39.957218,-82.999616,218
SUN,2,00007540,S GRANT AVE & E MOUND ST,15,35,50,39.956462,-82.989822,219
SUN,2,00004100,N HIGH ST & W NATIONWIDE,30,20,50,39.968238,-83.001898,220
SUN,24,00003906,S HAMILTON RD & E LIVING,16,34,50,39.944253,-82.877974,221
SUN,24,00007387,HAMILTON RD & E BROAD ST,33,17,50,39.975346,-82.874159,222
SUN,102,00008033,COTA TRANSIT TERMINAL BA,50,0,50,39.957242,-82.999122,223
SUN,2,00002271,E MAIN ST & S OHIO AVE,23,26,50,39.957809,-82.971067,224
SUN,31,00001288,N HIGH ST & W HUDSON ST,11,38,50,40.014087,-83.011282,225
SUN,1,00007538,W LANE AVE & NEIL AVE,35,14,49,40.006253,-83.014021,226
SUN,10,00002549,E BROAD ST & HAMILTON PA,30,19,49,39.964567,-82.980912,227
SUN,6,00001118,CLEVELAND AVE & E WEBER,23,26,49,40.02296,-82.964649,228
SUN,8,00007434,S 4TH ST & E CAPITAL ST,16,33,49,39.961922,-82.996031,229
SUN,2,00003856,N HIGH ST & FITZ HENRY B,6,42,49,40.066386,-83.01921,230
SUN,1,00001976,E LIVINGSTON AVE & S YEA,43,5,48,39.945385,-82.887127,231
SUN,1,00001979,E LIVINGSTON AVE & COURT,35,13,48,39.945981,-82.897682,232
SUN,1,00004100,N HIGH ST & W NATIONWIDE,31,17,48,39.968212,-83.001878,233
SUN,10,00002642,W BROAD ST & N OGDEN AVE,17,31,47,39.955168,-83.070974,234
SUN,34,00005969,MORSE RD & TAMARACK BLVD,41,6,47,40.060224,-82.970347,235
SUN,22,00002150,FREBIS AVE & STUDER AVE,15,32,47,39.934731,-82.966118,236
SUN,2,00002270,E MAIN ST & GILBERT ST,18,29,47,39.957871,-82.973718,237
SUN,2,00002351,E MAIN ST & S OHIO AVE,22,25,47,39.957906,-82.970575,238
SUN,2,00001251,S HIGH ST & W STATE ST,25,22,47,39.960434,-83.000253,239
SUN,102,00001288,N HIGH ST & W HUDSON ST,23,24,47,40.014089,-83.011313,240
SUN,10,00008030,E BROAD ST & GOLF CENTER,25,22,47,39.977323,-82.869817,241
SUN,10,00007518,E BROAD ST & N 4TH ST,23,23,46,39.962832,-82.996135,242
SUN,2,00001298,N HIGH ST & W 10TH AVE,27,19,46,39.993844,-83.006882,243
SUN,9,00004157,W LONG ST & N HIGH ST,20,26,46,39.964939,-83.001498,244
SUN,102,00006645,N HIGH ST & W RATHBONE A,21,25,46,40.063467,-83.019516,245
SUN,2,00002344,E MAIN ST & FAIRWOOD AVE,23,23,46,39.957561,-82.952675,246
SUN,6,00001089,CLEVELAND AVE & MOUNT VE,37,9,46,39.96958,-82.99044,247
SUN,9,00006901,WALMART GEORGESVILLE RD,23,23,46,39.928016,-83.118918,248
SUN,1,00001925,E LIVINGSTON AVE & KELTO,13,33,46,39.949115,-82.95904,249
SUN,10,00002523,E BROAD ST & ROBINWOOD A,36,10,45,39.973842,-82.896766,250
SUN,8,00003812,W 12TH AVE & N HIGH ST,25,20,45,39.996852,-83.00832,251
SUN,8,00005963,MORSE RD & TAMARACK BLVD,17,28,45,40.060507,-82.97139,252
SUN,1,00001251,S HIGH ST & W STATE ST,31,14,44,39.960418,-83.000211,253
SUN,10,00007406,W BROAD ST & N MURRAY HI,7,37,44,39.952393,-83.128328,254
SUN,10,00007514,E BROAD ST & N ASHBURTON,14,30,44,39.972262,-82.911694,255
SUN,33,00007910,2555 SUMMER DR,23,21,44,40.121513,-83.088531,256
SUN,32,00007076,TREMONT RD & RIDGECLIFF,25,19,44,40.022962,-83.059065,257
SUN,2,00001266,N HIGH ST & GRACELAND BL,39,5,44,40.06468,-83.01945,258
SUN,9,00001644,E MAIN ST & S PEARL ST,7,37,44,39.956211,-82.998415,259
SUN,121,00004092,N HIGH ST & E NATIONWIDE,18,25,43,39.968241,-83.001737,260
SUN,8,00003577,MORSE RD & KARL RD,13,30,43,40.060367,-82.97637,261
SUN,8,00001297,N HIGH ST & CHITTENDEN A,30,13,43,39.995921,-83.007334,262
SUN,10,00002643,W BROAD ST & N HAGUE AVE,16,27,43,39.955007,-83.074309,263
SUN,2,00004087,S HIGH ST & E STATE ST,15,27,43,39.959868,-83.000183,264
SUN,24,00003934,S HAMILTON RD & E LIVING,29,14,43,39.945176,-82.877698,265
SUN,6,00001251,S HIGH ST & W STATE ST,25,18,42,39.960396,-83.000243,266
SUN,121,00004085,S HIGH ST & E RICH ST,31,11,42,39.957226,-82.999631,267
SUN,10,00002527,E BROAD ST & N WEYANT AV,32,10,42,39.972805,-82.906623,268
SUN,10,00004142,E BROAD ST & PARSONS AVE,20,23,42,39.9644,-82.981007,269
SUN,1,00001947,E LIVINGSTON AVE & CUNAR,9,33,42,39.946092,-82.901894,270
SUN,1,00003957,N HIGH ST & E 18TH AVE,22,20,42,40.002887,-83.008698,271
SUN,34,00003577,MORSE RD & KARL RD,23,19,42,40.060417,-82.976495,272
SUN,2,00005983,N HIGH ST & E 9TH AVE,11,30,41,39.993605,-83.006742,273
SUN,8,00004625,E 11TH AVE & N PEARL ST,37,4,41,39.994735,-83.005928,274
SUN,102,00005910,N HIGH ST & E GAY ST,34,7,41,39.964402,-83.000994,275
SUN,152,00005208,N HIGH ST & OHIO CENTER,6,35,41,39.970241,-83.002255,276
SUN,10,00001467,W BROAD ST & OLD VILLAGE,2,39,41,39.952603,-83.124187,277
SUN,10,00002548,E BROAD ST & N 17TH ST,25,16,41,39.964951,-82.977588,278
SUN,2,00002322,E MAIN ST & ROBINWOOD AV,28,13,41,39.95611,-82.896322,279
SUN,7,00007456,S FRONT ST & W BROAD ST,9,32,41,39.961749,-83.002541,280
SUN,1,00001920,E LIVINGSTON AVE & S CHA,23,18,41,39.949666,-82.970369,281
SUN,1,00004025,E LIVINGSTON AVE & BRICE,40,0,40,39.942086,-82.830814,282
SUN,2,00006010,E MAIN ST & ROBINWOOD AV,8,32,40,39.956003,-82.896837,283
SUN,2,00001206,N HIGH ST & E NORTH BROA,11,29,40,40.031927,-83.015862,284
SUN,10,00004459,4765 W BROAD ST,35,5,40,39.952233,-83.127818,285
SUN,1,00007539,W LANE AVE & NEIL AVE,12,28,40,40.006234,-83.013899,286
SUN,10,00002635,W BROAD ST & LECHNER AVE,12,27,40,39.956021,-83.053575,287
SUN,34,00006647,2560 MORSE RD,6,34,40,40.059542,-82.951147,288
SUN,10,00002515,E BROAD ST & MIDCLIFF DR,21,19,40,39.976317,-82.873183,289
SUN,102,00001222,N HIGH ST & LELAND AVE,24,16,39,40.064055,-83.019331,290
SUN,121,00005208,N HIGH ST & OHIO CENTER,28,12,39,39.970238,-83.002202,291
SUN,1,00001954,E LIVINGSTON AVE & S HAM,14,25,39,39.944684,-82.876822,292
SUN,1,00001913,E LIVINGSTON AVE & KELTO,27,12,39,39.949233,-82.95987,293
SUN,11,00007256,WESTVIEW TURNAROUND,20,19,39,40.070041,-83.019593,294
SUN,1,00001930,E LIVINGSTON AVE & MEMOR,15,24,39,39.948492,-82.94678,295
SUN,5,00001525,W 5TH AVE & OLENTANGY RI,7,32,39,39.987938,-83.026422,296
SUN,4,00007456,S FRONT ST & W BROAD ST,27,12,39,39.961696,-83.0025,297
SUN,22,00003570,S OHIO AVE & E MAIN ST,30,9,39,39.957643,-82.970912,298
SUN,121,00001178,N HIGH ST & E RUSSELL ST,5,34,39,39.975787,-83.003132,299
SUN,7,00001797,E MOUND ST & S HIGH ST,22,17,39,39.955,-82.998853,300
SUN,6,00005875,CLEVELAND AVE & STATE RO,4,35,39,40.084657,-82.951007,301
SUN,10,00002547,E BROAD ST & N 20TH ST,24,15,39,39.965371,-82.974061,302
SUN,10,00002676,W BROAD ST & S SKIDMORE,22,17,39,39.9602,-83.016682,303
SUN,7,00001630,MOUNT VERNON AVE & N 20T,9,29,39,39.972063,-82.973584,304
